999999 14-01-09 14:03:00 2038.56; breakPoint: 14-01-09 09:32:02 2038.68 
IF0000 14-01-09 14:03:53 2235.8; breakPoint: 14-01-09 09:31:00 2236.0 
999999 14-01-09 14:03:00 2038.56; breakPoint: 14-01-09 09:32:02 2038.68 
IF0000 14-01-09 14:03:53 2235.8; breakPoint: 14-01-09 09:31:00 2236.0 
IF0000 14-01-09 09:30:30 2235.8; breakPoint: 14-01-09 09:31:00 2236.0 
999999 14-01-09 09:31:50 2038.51; breakPoint: 14-01-09 09:32:02 2038.68 
999999 14-01-09 14:03:00 2038.56; breakPoint: 14-01-09 09:32:02 2038.68 
IF0000 14-01-09 14:03:53 2235.8; breakPoint: 14-01-09 09:31:00 2236.0 
IF0000 14-01-09 09:30:30 2235.8; breakPoint: 14-01-09 09:31:00 2236.0 
999999 14-01-09 09:31:50 2038.51; breakPoint: 14-01-09 09:32:02 2038.68 
IF0000 14-01-09 09:30:30 2235.8; breakPoint: 14-01-09 09:31:00 2236.0 
999999 14-01-09 09:31:50 2038.51; breakPoint: 14-01-09 09:32:02 2038.68 
IF0000 14-01-09 09:30:30 2235.8; breakPoint: 14-01-09 09:31:00 2236.0 
999999 14-01-09 09:31:50 2038.51; breakPoint: 14-01-09 09:32:02 2038.68 
IF0000 14-01-09 09:30:30 2235.8; breakPoint: 14-01-09 09:31:00 2236.0 
999999 14-01-09 09:31:50 2038.51; breakPoint: 14-01-09 09:32:02 2038.68 
999999 14-01-09 14:03:00 2038.56; breakPoint: 14-01-09 09:32:02 2038.68 
IF0000 14-01-09 14:03:53 2235.8; breakPoint: 14-01-09 09:31:00 2236.0 
IF0000 14-01-09 09:30:30 2235.8; breakPoint: 14-01-09 09:31:00 2236.0 
999999 14-01-09 09:31:50 2038.51; breakPoint: 14-01-09 09:32:02 2038.68 
IF0000 14-01-09 10:58:17 2264.2; breakPoint: 14-01-09 11:10:00 2264.0 
IF0000 14-01-09 14:09:55 2232.8; breakPoint: 14-01-09 14:10:00 2233.0 
999999 14-01-09 14:12:31 2034.87; breakPoint: 14-01-09 14:11:01 2034.96 
IF0000 14-01-09 09:30:30 2235.8; breakPoint: 14-01-09 09:31:00 2236.0 
999999 14-01-09 09:31:50 2038.51; breakPoint: 14-01-09 09:32:02 2038.68 
IF0000 14-01-09 10:58:17 2264.2; breakPoint: 14-01-09 11:10:00 2264.0 
IF0000 14-01-09 14:09:55 2232.8; breakPoint: 14-01-09 14:10:00 2233.0 
999999 14-01-09 14:12:31 2034.87; breakPoint: 14-01-09 14:11:01 2034.96 
IF0000 14-01-09 15:14:06 2222.4; breakPoint: 14-01-09 15:14:00 2222.6 
999999 14-01-10 09:30:04 2022.04; breakPoint: 14-01-09 14:55:00 2026.65 
999999 14-01-10 14:11:44 2012.15; breakPoint: 14-01-10 11:12:00 2012.19 
IF0000 14-01-13 09:45:56 2228.6; breakPoint: 14-01-10 13:15:00 2228.2 
IF0000 14-01-13 10:34:08 2213.2; breakPoint: 14-01-10 14:13:01 2214.0 
IF0000 14-01-13 10:34:09 2212.4; breakPoint: 14-01-10 11:04:00 2212.6 
999999 14-01-13 09:46:10 2022.96; breakPoint: 14-01-10 13:15:00 2022.57 
999999 14-01-13 10:41:45 2008.38; breakPoint: 14-01-10 14:32:04 2008.42 
IF0000 14-01-14 10:34:47 2196.6; breakPoint: 14-01-13 14:37:01 2196.8 
IF0000 14-01-14 11:12:04 2211.2; breakPoint: 14-01-14 09:31:00 2210.8 
999999 14-01-14 10:56:18 2010.71; breakPoint: 14-01-14 09:31:03 2010.68 
999999 14-01-14 14:55:51 2024.69; breakPoint: 14-01-14 11:16:03 2024.6 
999999 14-01-09 14:03:00 2038.56; breakPoint: 14-01-09 09:32:02 2038.68 
IF0000 14-01-09 14:03:53 2235.8; breakPoint: 14-01-09 09:31:00 2236.0 
999999 14-01-10 14:11:44 2012.15; breakPoint: 14-01-10 11:12:00 2012.19 
